Metric,Value
clock__skew__worst_hold__corner:min_ff_n40C_5v50,-0.31813427792591237
clock__skew__worst_setup__corner:min_ff_n40C_5v50,0.3248695571175901
timing__hold__ws__corner:min_ff_n40C_5v50,0.34200743205518164
timing__setup__ws__corner:min_ff_n40C_5v50,59.37328308167722
timing__hold__tns__corner:min_ff_n40C_5v50,0.0
timing__setup__tns__corner:min_ff_n40C_5v50,0.0
timing__hold__wns__corner:min_ff_n40C_5v50,0
timing__setup__wns__corner:min_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:min_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:min_ff_n40C_5v50,0.342007
timing__hold_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:min_ff_n40C_5v50,72.437759
timing__setup_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__unannotated_net__count__corner:min_ff_n40C_5v50,164
timing__unannotated_net_filtered__count__corner:min_ff_n40C_5v50,0
design__max_slew_violation__count__corner:max_tt_025C_5v00,19
design__max_fanout_violation__count__corner:max_tt_025C_5v00,162
design__max_cap_violation__count__corner:max_tt_025C_5v00,10
clock__skew__worst_hold__corner:max_tt_025C_5v00,-0.38237389337129113
clock__skew__worst_setup__corner:max_tt_025C_5v00,0.38850743166660356
timing__hold__ws__corner:max_tt_025C_5v00,0.7120282343045824
timing__setup__ws__corner:max_tt_025C_5v00,46.573441532711776
timing__hold__tns__corner:max_tt_025C_5v00,0.0
timing__setup__tns__corner:max_tt_025C_5v00,0.0
timing__hold__wns__corner:max_tt_025C_5v00,0
timing__setup__wns__corner:max_tt_025C_5v00,0.0
timing__hold_vio__count__corner:max_tt_025C_5v00,0
timing__hold_r2r__ws__corner:max_tt_025C_5v00,0.712028
timing__hold_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__setup_vio__count__corner:max_tt_025C_5v00,0
timing__setup_r2r__ws__corner:max_tt_025C_5v00,46.573441
timing__setup_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_tt_025C_5v00,164
